WeekName,Original Call Hour,Predicted_Connect_Probability
Monday,11,0.5646178429239632
Monday,16,0.5637463815374237
Tuesday,10,0.5632800468527304
Monday,10,0.5629138339441232
Thursday,11,0.5628754539015779
Thursday,10,0.5623238683439531
Tuesday,11,0.5619049159661081
Tuesday,16,0.5617891680186152
Thursday,16,0.5601289142243618
Wednesday,16,0.5600007880396762
Wednesday,11,0.5589257863207115
Friday,11,0.5578548221152895
Monday,15,0.5577123637936927
Friday,16,0.5576124322265048
Wednesday,10,0.5575753845194786
Tuesday,15,0.5563806739501171
Thursday,15,0.5555976134159731
Tuesday,14,0.5546012485712181
Wednesday,15,0.5545392250821403
Monday,14,0.5539829898584988
Thursday,14,0.5538924776510435
Friday,15,0.5537953372731966
Wednesday,14,0.5519761323347805
Friday,10,0.5517668010801989
Friday,14,0.5509665803710991
Monday,17,0.5489951953108533
Tuesday,17,0.5474176485007125
Friday,17,0.5437702542606245
Thursday,17,0.5390549501854329
Wednesday,17,0.5367715144329223
Monday,12,0.5357151931727105
Monday,13,0.5355176168489985
Thursday,13,0.530244917797137
Thursday,12,0.5299021233871885
Wednesday,13,0.5290515127347482
Tuesday,13,0.5283267669904343
Wednesday,12,0.5282711278990893
Tuesday,12,0.5281088960022784
Friday,12,0.5278457845096131
Friday,13,0.5270291256450425
Friday,18,0.47727441386010905
Monday,18,0.46441272532845707
Monday,9,0.46327334415450927
Tuesday,18,0.46087729773455144
Sunday,10,0.45951609396149823
Thursday,18,0.4586789686448091
Friday,19,0.45838139031803093
Friday,9,0.4572033039557423
Tuesday,9,0.4564783309266679
Monday,19,0.45314083570966035
Wednesday,9,0.45165995040032014
Thursday,19,0.4514097588012863
Tuesday,19,0.4495406374499651
Wednesday,18,0.44117833824893854
Thursday,9,0.44073939383805294
Sunday,11,0.4382750270643854
Sunday,16,0.4360273465065476
Wednesday,19,0.43336205274191364
Saturday,11,0.4295546418746422
Sunday,14,0.42915683515622194
Sunday,15,0.42733218519726857
Saturday,10,0.4227654552112468
Saturday,16,0.409861896770686
Sunday,13,0.4008282704056089
Sunday,12,0.39992286810326905
Saturday,14,0.3983552146079467
Sunday,9,0.3978713141044281
Saturday,15,0.3968251437228189
Monday,8,0.3930656475629946
Sunday,17,0.39226378196790856
Saturday,17,0.390693336242746
Saturday,13,0.38191729277569414
Saturday,12,0.3810470704861551
Tuesday,8,0.3809679306128373
Friday,8,0.3766824431229492
Saturday,18,0.3746245519353078
Wednesday,8,0.3740066359858297
Saturday,9,0.36758483555372906
Sunday,18,0.36699295027055956
Thursday,8,0.3640555167930882
Sunday,8,0.350735167244485
Saturday,8,0.3284282555426165
Saturday,19,0.3186830708377803
Sunday,19,0.2883366551805597
